author.properties.friends,author.properties.status_count,author.properties.verified,content.body,location.country,properties.platform,properties.sentiment,location.latitude,location.longitude
2158,63147,False,@ellathomasxo should've accidentally on purpose fell,GB,twitter,-1,54.04781511003401,-2.8563455
79,15022,False,"21:57 BST: Experimental forecast for the next 12 hours: Fairly fine, showery later",GB,twitter,1,53.354,-1.998
627,6248,False,I should really sleep,GB,twitter,-1,52.227131081826634,0.511578
431,40034,False,Lit me and @Orange_Peels https://t.co/blxTupgHFn,GB,twitter,1,51.89632636441313,-2.0877745
513,17061,False,My do my toes never stay in my heels😟🙄,GB,twitter,-1,53.67581511056894,-0.5130909999999999
77,2861,False,@SkyNews he really is a clown. That is perhaps a kind 4 letter word. Clot may me another.,GB,twitter,0,51.46034516709653,-0.11540599999999997
2503,78437,False,"@garyskiphills nope i take your point there, I forgot about Tommy G moving to RB",GB,twitter,-1,51.479518714513524,0.1618535
773,35159,False,Ooh I understand now 😂😂 https://t.co/8HcNvxvqP0,GB,twitter,-1,51.451674884083495,-0.19371950000000002
4244,46975,False,.@AliceStevo John Eastman https://t.co/02VFDiCTTm https://t.co/41RDprngL4,GB,twitter,0,51.58792119344532,-0.102162
1183,928,False,@Flyy7F yer wee brer's in PK,GB,twitter,-1,55.246772692267214,-4.8454345000000005
79,15023,False,Weather chart for past 24 hours (auto-tweet with values to 9am and 9pm each day). https://t.co/1Oc2o3wGeK,GB,twitter,0,53.354,-1.998
11,1029681,False,"23:56 BST: Temperature: 14.1°C, Wind: W, 1 mph (ave), 7 mph (gust), Humidity: 76%, Rain (hourly) 0.0 mm, Pressure: 1019 hPa, rising slowly",GB,twitter,0,51.676323,-3.542993
588,6918,False,@Barlow96 just lay in my coffin for a few hours whilst watching prison break,GB,twitter,1,54.592378109646226,-1.0204444999999998
184,3600,False,Just realised I've not eaten anything today...,GB,twitter,-1,51.807135116435056,-0.1923765
93,179,False,"https://t.co/kgXnekggKk
❤️this",GB,twitter,-1,54.07111124598568,-2.7751315
987,34618,False,@mattyfairnie fave album? Not a bold shout tbf. It's top five in Hunter Palace.,GB,twitter,0,55.943259273756,-3.2030084999999997
1940,31544,False,#manufacturinguk Derby @GreenDavidD,GB,twitter,-1,52.227131081826634,0.511578
2224,106111,False,"@stardisco_ there are problems for sure, but THAT very specific issue isn't one of them. 

Also.. BITCH CHANGED HER HANDLE",GB,twitter,-1,52.76166847346558,-1.556472
297,5284,False,😂😂😂 https://t.co/phUJrsRoNc,GB,twitter,0,51.64530734401061,-0.09916350000000003
263,10425,False,someone loudly sneezed at work today and ever since my right ear is in so much pain fuck this man,GB,twitter,-1,50.83958338001748,-0.19172299999999998
194,62324,False,Find out more about Dunkies in Seaford @ https://t.co/cz8NFs5nUu #tnc #areacode,GB,twitter,-1,50.7733897,0.1028418
540,5108,False,I love my London life https://t.co/HrXgrK5gma,GB,twitter,1,51.51448212166734,-0.09291050000000002
599,44568,False,"@tobyperkinsmp that was a really good watch, great team, great players and as you say great manager. Sheringham looks like he hasn’t aged!",GB,twitter,1,53.18148435163203,-1.3867304999999999
376,18360,False,Just cleared out 90% of my wardrobe because everything is now too big 😁😱 and I'm too poor to replace anything 😂😭😭,GB,twitter,-1,51.23643089192935,-0.5701174999999999
174,3540,False,Tell me where your freedom lies,GB,twitter,-1,55.853166006556194,-4.5111855
1019,80871,False,@shelley_ozzy @FCNantes Nantes supposed to be a lovely City School exchange to Loire Valley area & it is beautiful,GB,twitter,0,54.53511410350928,-2.3929449999999997
227,7356,False,@sabiha106 im dead😭 https://t.co/97TXarhSnp,GB,twitter,0,52.916607589459744,-2.2981339999999997
362,10921,False,"There's probably ten goals that get played over and over again. Gascoigne tellingly has two of them and rightly so, an absolute genius",GB,twitter,-1,51.73990077998931,0.47847899999999993
150,59,False,"#brandbeforebuilding presentation @
https://t.co/iDw2rQhFHj",GB,twitter,0,51.249274706820096,-0.010315999999999995
1103,6922,False,@rach4dan need something for us to cling onto though sweet it's not good this at all,GB,twitter,0,53.65511012384002,-2.1735065
392,1347,False,Millwall 2015/16 Goal of the Season | Ben Thompson https://t.co/CbyB3S1QFp via @YouTube // @AlExBarker124,GB,twitter,0,51.560607684597755,0.21058950000000004
904,2041,False,@RichFenton #DebtBustingExpert I'd spend vouchers on decorating my 8 year old's room. Last done before she was born😚 https://t.co/DhNvmhgbOL,GB,twitter,0,52.924466066039024,-4.3855664999999995
2084,44798,False,Not prepared to be dying on Sunday ugh 😫😖,GB,twitter,-1,54.94155570577247,-1.5685954999999998
2519,26476,False,@SalfordArmyAnt I need a hug 😭😭😭🙈,GB,twitter,-1,53.419914903420405,-2.9154269999999998
505,13861,False,Excellent 👏🏼 https://t.co/C3YYnjPZT5,GB,twitter,0,54.559427409931665,-1.2225015000000004
422,1083,False,New Music Alert  https://t.co/nDKbwFcD7d,GB,twitter,1,51.5112139,-0.1198244
1443,10648,False,OMG cannot cope 😂😂😂😂 https://t.co/Nbc4A8Y7nT,GB,twitter,-1,51.644318675742966,-3.9457349999999987
543,2010,False,It's still Wednesday! My first (non-Courtier) Crypt Ghast. #WIPwednesday https://t.co/Jx8mBwunjg,GB,twitter,0,51.49704302186007,-3.1798
680,3691,False,@MargevonMarge Blimey. You still haven't served enough time here? #EUref #Remain,GB,twitter,-1,53.5532640595455,-0.6594239999999999
463,3629,False,"@caoimhe_renshaw Like u didn't suggest it cos ur "" not photogenic and need more time & I need u on my insta to show we are best mates""",GB,twitter,-1,53.58071287134156,-2.3047580000000005
10714,49846,False,Thought this was a pretty cool photo I got of Drew today 😂🤔💁🏻 https://t.co/MTNJfJgQoz,GB,twitter,-1,52.49405270288055,-1.8906405
190,72640,False,"@YasmeenSaleem15 
@kagha76 https://t.co/yNP4ILXJfD",GB,twitter,0,51.58500991494593,0.07886299999999999
1321,86271,False,@cammiescott have you ever been to Scotland? I reckon you should give Nessie a visit! (I live near her) #AskCammie,GB,twitter,-1,57.786631183916356,-4.200440999999999
368,27766,False,"As much as I love her, Meredith Grey is such a moaning myrtle sometimes",GB,twitter,-1,54.728776507267035,-1.3753199999999999
2434,38097,False,@Gallt99 @mckinlay_liz @labourareliars @JRTomlinAuthor 100% agree,GB,twitter,-1,55.85839558130999,-4.2417515
243,9441,False,@dragon4758 er...than what?,GB,twitter,1,52.41214485808566,-4.001617
97,1233,False,@leahgibsonxo love this!!! xoxox,GB,twitter,1,53.54627311144873,-2.7743114999999996
275,23876,False,@Malagenabolaka Pauline I'm legit tearing up. 😢,GB,twitter,-1,57.786631183916356,-4.200440999999999
124,257,False,"Eric's Wife and daughter dies with one arrow, Double kill 😂",GB,twitter,1,55.85839558130999,-4.2417515
551,31239,False,@WestHam_Central  Drinkwater is a much better player than a fit Henderson or Barkley and could have provided so much for Vardy  Thanks Roy!!,GB,twitter,1,50.40223082859258,-4.142929999999999
1015,73896,False,@naysupreme_ firm it,GB,twitter,-1,51.64530734401061,-0.09916350000000003
349,34973,False,.@cumkinggg I don't think it beats this beauty that I accidentally took https://t.co/Zb5fQiKBbf,GB,twitter,0,53.38322877572023,-1.4496120000000003
1193,28379,False,@CFC_Murphyyy who's in this call,GB,twitter,-1,51.54947858240573,0.7212505000000001
505,3217,False,@BodaciousChase @Baphometta_ curiosity has peaked!!,GB,twitter,1,54.64768107500438,-5.6676009999999994
107,1990,False,"@_Stewart_Bain @BloodyScotland @Lin_Anderson @doug_johnstone  Huge Celebs at BS, Linwood Barclay last year Stewart Bain this year!!",GB,twitter,1,57.786631183916356,-4.200440999999999
1021,38177,False,"le voy a decir a la gente que extraño, que la extraño.",GB,twitter,1,51.50009845259365,-0.148936
320,20506,False,I can't believe the lady from Come Outside is on eastenders,GB,twitter,-1,51.871599960146305,-0.9207325
648,1066,False,"All I'm saying is, Twitter arguments mean nothing, they're forgot about the next day, and no one says shit in person. So can we ALL drop it?",GB,twitter,-1,51.618787229839945,0.4827625
886,1630,False,@francesmcc_xo that's actually so funny😂,GB,twitter,-1,54.235255234382564,-6.161753000000001
191,118,False,"you can miss something, but not want it back...",GB,twitter,-1,53.612681987750264,-0.960897
166,8897,False,@wordspinster @JudSawyer depressing things arrivas....,GB,twitter,-1,52.23888471672323,-0.8829510000000002
1125,19210,False,That video pissed me off 😤😤,GB,twitter,-1,51.59585202771581,-0.3370625
934,58313,False,for @Channel4News & @jonsnowC4  never more apt - @David_Cameron your days are over https://t.co/LxN3tydBIw,GB,twitter,0,51.39781057661456,-0.252754
766,18100,False,Lol I'm in a well good mood,GB,twitter,1,52.431965277142396,-1.1083805
223,2325,False,Not looking forward to an early start tomorrow,GB,twitter,1,51.23073568064819,-2.3158515
279,12649,False,I won £20 on PengWin Pursuit https://t.co/cIr5jpzMRC #BetterChances #GameStore… https://t.co/zSpcfiS7S2,GB,twitter,0,54.13016014,-0.79494567
534,963,False,So am I! #veggielawyersrock https://t.co/gsQm4yTA98,GB,twitter,-1,51.58500991494593,0.07886299999999999
1073,4362,False,#NightTime is #OurTime #TheDepartureLounge https://t.co/Uihhw93kAp #Thrilling #Music for #NightOwls @VQRESTAURANTS https://t.co/yfJIFvs9xV,GB,twitter,0,51.451674884083495,-0.19371950000000002
1057,60736,False,@Dan_Turner_93 Didn't Ricardo once play for Leicester in the Championship?,GB,twitter,-1,52.55388908204646,-1.146641
940,4704,False,Don't call me Shirley #fitness #gym #tringmartialarts #tring #berkhamsted #astonclinton @ Tring… https://t.co/jv1LbSVoOB,GB,twitter,0,51.79251,-0.66238
564,33630,False,The blob @ Mr  Blobbys https://t.co/jSHaBVSkWN,GB,twitter,0,53.09992981,-1.11058807
859,36929,False,@JR_athletics @phil_walker spot on.,GB,twitter,-1,50.4475730815792,-3.5456950000000003
262,49611,False,😴 but 🔥,GB,twitter,-1,53.456983702037085,-2.2334800000000006
328,2429,False,i am done 😂😂😂 https://t.co/OFr9KfibCF,GB,twitter,0,53.728535988425826,-2.4837504999999998
702,8958,False,Massive happy birthday to @Il0vevic have a good one!! 🎉💙,GB,twitter,1,51.67150341071704,-0.5871185
2164,105226,False,Night night ma lifesavers @itsDannyJones @TomFletcher @mcflyharry @DougiePoynter @mcflymusic 💗💗💗💗❤❤❤❤ love ye's so much xxxxxxxxxxxxxxxxxxxx,GB,twitter,1,55.943259273756,-3.2030084999999997
511,3763,False,The first time I've heard the term murder-suicide today. Why not just call them heartless chickens who are scared to face the consequences.,GB,twitter,-1,53.38322877572023,-1.4496120000000003
447,15272,False,😂😂😂 https://t.co/B2k6sXKo8q,GB,twitter,0,53.12977465530245,-1.2724419999999999
269,19067,False,@Edwin_AFC didn't someone get shot there the other day,GB,twitter,-1,52.0571262016396,1.1616629999999997
2452,12408,False,Photography is so beautiful 😍,GB,twitter,1,51.54765285291366,-0.060167500000000006
606,5211,False,@Lewis27Russell nah ur alright,GB,twitter,-1,55.86527381074809,-3.5084120000000008
2122,6610,False,Lorna Laidlaw #Mentor #Birmingham @PerryBeechesII @RudolphWalkerDA #RWiSDA2016 #GrandFinal @stratfordeast Sun 3 July https://t.co/t4mmJpci8A,GB,twitter,0,51.61191284168327,-0.2108945
289,8049,False,Taylor Swift and Calvin Harris have broken up... #DoIHearANewAlbun,GB,twitter,1,51.51483911149297,-0.0350195
626,4028,False,@khloekardashian abs on snapchat though😍😍,GB,twitter,0,51.61904654153738,-3.456404
71,48,False,Imagine been able to tweet about something fun. Nope not me have no idea! I'm so boring 😂😂,GB,twitter,-1,54.559427409931665,-1.2225015000000004
562,36781,False,*you,GB,twitter,-1,51.54765285291366,-0.060167500000000006
253,14974,False,Tough times like this. 😞😢,GB,twitter,-1,55.00619740232842,-7.312944999999999
401,1996,False,@tisnees any idea what time you're flying out tomorrow morning?,GB,twitter,1,52.62211889266382,-1.683398
365,4660,False,"@hanna_georgia stupidly long babe. Space is really small, tends to run out of stock really quick, gets messy and 1 in 1 out!. Not worth it X",GB,twitter,-1,51.46034516709653,-0.11540599999999997
1125,19211,False,How's he slapping her like that that's mad you ain't no man if your doing that crap,GB,twitter,-1,51.59585202771581,-0.3370625
987,34622,False,"@mattyfairnie some choices in there I'd not pick! But for changeable, I've not got sceamadelica in there so yeah, I'd change. 😂",GB,twitter,-1,55.943259273756,-3.2030084999999997
69,614,False,"Every relationship has its problems, but what makes it perfect is if you still want to be together when things go wrong.",GB,twitter,0,51.50009845259365,-0.148936
1554,89337,False,@Odhraaan really,GB,twitter,-1,54.59591680133457,-5.928412999999999
140,6572,False,@funandsexytimes would love you to DM the video but I'm down to my last nipple tassel and using axle grease as a lubricant (SKINT)😉😉❌❌😜😜,GB,twitter,-1,53.414623479394955,-2.1556405
752,41816,False,Cheers Paul👊🏿 https://t.co/XqdRdyMjxu,GB,twitter,0,51.46034516709653,-0.11540599999999997
98,1634,False,My poorly boy 😍 https://t.co/CMrMhg1F4D,GB,twitter,-1,51.3296460722635,-2.8691530000000003
4117,60981,False,@NoirMJ  Its annoying that this is a serious decision & both sides of Tory are treating it like a pantomime. with cries of Oh No it isn't.,GB,twitter,-1,53.38322877572023,-1.4496120000000003
2288,16117,False,CGTTNKOTWEHNO https://t.co/1X9KmwvI7Q,GB,twitter,0,56.64118209699307,-2.8904994999999998
108,23357,False,Cadê aquela parte que tu disse que ambos tinham que dar atenção?,GB,twitter,0,52.03360633916026,-0.7640635
697,47242,False,Good that it has ended with a laugh and perhaps a smile😄 https://t.co/P4djpxQJih,GB,twitter,0,51.27676464045431,1.0901355000000001
2951,19939,False,#SongsGoingNowhere  Don't leave me this way.,GB,twitter,-1,55.85839558130999,-4.2417515
319,48,False,"Happy birthday Erin, Jean would be proud x https://t.co/sxQCXMqJEj",GB,twitter,0,57.786631183916356,-4.200440999999999
686,19834,False,@I_Skream happy birthday u legend,GB,twitter,1,53.38322877572023,-1.4496120000000003
521,8191,False,"@Ciocia I am generalising, not drawing a line.

Someone from Jordan and Iran will act differently to someone from Germany or Scotland.",GB,twitter,0,57.1605717487859,-2.1270404999999997
1954,9569,False,@benshapiro IMPORTANT! The West is anti-white & pro-immigration probably because our fertility rate is 30% too low so we're dying out :(,GB,twitter,-1,51.13241515126608,1.302505
151,4545,False,@zenoagency @TitanBooks @ForbiddenPlanet @awfulagent I have already bought them all  can I bring them to be signed?,GB,twitter,-1,51.61191284168327,-0.2108945
1016,73921,False,"@lizzytbh are u tryna get me blacklisted or? I have no bae, not even a potential. 😌 barely have friends x",GB,twitter,-1,51.64530734401061,-0.09916350000000003
52,881,False,@TedWall4 Sanders? https://t.co/Bl9Em2WCUN,GB,twitter,0,53.32361549801847,-2.2338195000000005
1348,90838,False,@PingPongGeant Nice one! I watched Felix play against a couple of much older opponents at Challenger level last year. Amazing talent.,GB,twitter,0,51.58567402626544,-3.0258350000000007
129,259,False,@MosawerEhrari do tell me more..,GB,twitter,-1,52.580149092624595,-2.147965
7,473,False,I jjsut coildnt contr ol. Myself,GB,twitter,-1,54.9636183551984,-1.7626134999999998
471,22481,False,@clubthanz1 this https://t.co/nEiBWhj3ih,GB,twitter,-1,53.47534904324797,-2.3495664999999994
2046,1805,False,@SheaCompanions Thanks for such an insightful post! Am sharing with my extended family members :),GB,twitter,1,52.969744440802685,-1.1722659999999996
238,69927,False,@liamjonesy_ dont u have like work? I have fuck all to do for four month catch you later x,GB,twitter,-1,54.89924650764616,-1.385366
1079,16124,False,"@BradsBlackTaxi Never broom,absolute trade killer..,",GB,twitter,0,51.58500991494593,0.07886299999999999
144,11767,False,"cba once again, standard shit bro",GB,twitter,-1,54.07111124598568,-2.7751315
75,98,False,@harry266111 they'll probs catch me I can't run as fast as the ginger bread man,GB,twitter,-1,52.297656565581015,-1.9309830000000001
195,2638,False,@SoccerSix #SoccerSixNashGrier 🙋🏼🙋🏼🙋🏼🙏🏼🙏🏼🙏🏼⚽️⚽️⚽️⚽️⚽️⚽️⚽️❤️❤️,GB,twitter,0,51.394368557245095,0.026298999999999996
1199,3346,False,I basically suck at video games.,GB,twitter,-1,51.45255330711058,-0.9820305
386,5219,False,@Ellehardman95 this Saturday?,GB,twitter,1,51.316552116349946,-0.5488354999999999
520,117546,False,"@wilesy999 I wish. No, that's our @frances_grey ... might be worth you looking it up. Vanity Fair 1998 BBC.",GB,twitter,-1,51.58500991494593,0.07886299999999999
756,4183,False,@Riaaa_C 😂😂,GB,twitter,0,51.46469310439313,-0.07060350000000003
1087,14311,False,@soph__findlay @charlieruthhx HAHAHAHAHhhh have u just said that I'm screaming,GB,twitter,-1,52.626293532909706,-1.13067
719,26187,False,"@Shanegreen_ yesss absolutely, I want Iyaz and Taoi Cruz me",GB,twitter,1,53.092125881429105,-2.4568145
2399,25011,True,#BonnieScotland ☀️☀️☀️ https://t.co/A6sd1bO1wt,GB,twitter,0,53.32361549801847,-2.2338195000000005
391,26448,False,"I really shouldn't be going to sleep in my fleecy pjs in June, JUNE ❄️",GB,twitter,1,53.802038177843606,-1.5654900000000003
2153,13763,False,@A_Jax Thanks for the follow. Always great to connect find out more https://t.co/5MTzsZqvvN https://t.co/EnQkuEV9Br #BritainHasSpirit,GB,twitter,1,53.60940388839056,-2.153001
69,1091,False,@_Bennehh My day = made,GB,twitter,1,55.943259273756,-3.2030084999999997
680,3700,False,@IHATEAKASH @AdventureTimes8 That's true; the latter affected me more. :<(,GB,twitter,-1,53.5532640595455,-0.6594239999999999
226,5076,False,Why did I nap today,GB,twitter,-1,50.808844440542124,-1.1491980000000002
844,19317,False,Put your hands on me your actually in trouble 😐,GB,twitter,-1,51.48651958815168,0.317777
931,307,False,Hedge removal part one...!! @ Dalkeith https://t.co/slEBFhE0w9,GB,twitter,-1,55.8667,-3.06667
2093,10670,False,@MrMStuchbery @Ephemeral321 @Positivteacha Didn't think of it as behaviour management; I just do it because they're interesting to talk to!,GB,twitter,-1,52.227131081826634,0.511578
195,2639,False,@SoccerSix #SoccerSixNashGrier I'm beggin u 🙏🏼🙏🏼🙏🏼🙏🏼⚽️❤️🙋🏼⚽️❤️🙋🏼,GB,twitter,-1,51.394368557245095,0.026298999999999996
104,7640,False,AND HE'S IN! @ Lunan Bay Beach https://t.co/XN6KZfjFDa,GB,twitter,0,56.65477203,-2.50492637
380,4721,False,Got to be up in like five hours for holiday and I'm wide awake,GB,twitter,1,53.802038177843606,-1.5654900000000003
872,13065,False,@neilbyrne_CT Perrrrfect! Enjoy it for me! :-),GB,twitter,1,50.785535,-1.077425
333,51690,False,wonder how many of the hundreds who sleep rough in the city centre feel the same? https://t.co/AHjdHcRq9M,GB,twitter,-1,53.456983702037085,-2.2334800000000006
166,8899,False,jane leaves ian but is shocked to find waterloo road has closed..where will she go .no sunhill....ohh well its holby #EastEnders #HolbyCity,GB,twitter,-1,52.23888471672323,-0.8829510000000002
336,34774,False,*Shoe string 😂👍🏻 https://t.co/UYAIvdR4IX,GB,twitter,-1,53.7554215099273,-1.659842
2788,47110,False,@StuartLock @PXEducation I can remember everyone had same points and GD after 2 games?,GB,twitter,1,52.49405270288055,-1.8906405
2324,23883,False,"-France
-Griezman
-Quarters
-Switzerland
 https://t.co/i45HdDrQCN",GB,twitter,0,51.199212563346414,-4.118541999999999
2382,66234,False,Putlocker blocked now. And couch tuner,GB,twitter,1,52.969744440802685,-1.1722659999999996
460,4309,False,"Just now writing those I opened up a can of coke and got thinking ""wait is it really worth the bloat & extra calories?"" Yes. Just 1 tho🤐",GB,twitter,-1,51.35895133231162,-0.09263300000000001
1954,9561,False,@infowars IMPORTANT! The West is anti-white & pro-immigration probably because our fertility rate is 30% too low so we're dying out :(,GB,twitter,-1,51.13241515126608,1.302505
428,23943,False,rupaul can Suck my ass,GB,twitter,0,53.38263616563445,-2.5933005000000002
241,143,False,Me- why would you waste money on stupid things                                              Me- *owns a swarovski pen because its pretty*,GB,twitter,-1,51.807135116435056,-0.1923765
2256,104416,False,@Josh_BAFC 7th apparently,GB,twitter,-1,52.583285350952416,-0.265658
410,44427,False,@mogibarra Seems Harris is one of the few areas left where that is a possibility,GB,twitter,-1,56.966307688482274,-2.219349
503,12366,False,@Mais_xoxo I h8 you hahahahaha,GB,twitter,0,53.419914903420405,-2.9154269999999998
2488,33676,False,@bethany_jadeee WHERE DID THAT SASSY TWEET THAT JUST MADE MY DAY DISAPPEAR TOO💔,GB,twitter,1,53.589899524748894,-0.6419345000000002
435,11516,False,"It's too much, it's just too much.  Fuck it. Fuck it all. 😭😭😭😭😭😭😭😭😭😭😭
https://t.co/dZYB0Mo3K0",GB,twitter,-1,51.73931775419655,-0.24971000000000004
476,4346,False,@JessMelissa_,GB,twitter,0,51.14193531741283,0.8731215000000001
19,717,False,This side knows what's up tbh https://t.co/MXx1milwGs,GB,twitter,-1,53.79985711313213,-3.0221290000000005
190,22182,False,goodbye  https://t.co/WSguzy8F56,GB,twitter,-1,51.58792119344532,-0.102162
195,2637,False,@SoccerSix #SoccerSixNashGrier 🙏🏼🙏🏼🙏🏼🙏🏼❤️❤️🙋🏼🙋🏼🙋🏼🙋🏼🙋🏼,GB,twitter,0,51.394368557245095,0.026298999999999996
159,39191,False,it's midnight why have seven ppl decided to text me,GB,twitter,-1,51.97915839291141,-0.22554249999999995
250,37252,False,@PrinceTozaki the uk haha,GB,twitter,-1,52.916607589459744,-2.2981339999999997
363,1744,False,@daniel_nevin0 @dion_pritchard sure you can afford some more 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,GB,twitter,-1,53.58421048880526,-2.434952499999999
67,1302,False,"@RussScanlon @doughnut68 yep, of course, I owe him a tenner already!!#fortherecord",GB,twitter,1,51.5248433429905,-0.17311500000000005
735,1781,False,wowowowow😞,GB,twitter,0,50.91464801183099,-1.299116
10186,285564,False,@sushi_murakami A warm thank you 4 following me. I very much appreciate ur valuable Twitter time. Good 2 connect. https://t.co/FcglSgS7sr,GB,twitter,1,54.234175921979336,-1.3487329999999995
166,394,False,Fleeing Saddam with the Kurds - https://t.co/HEdQ8bXMLv,GB,twitter,0,54.89924650764616,-1.385366
4254,130005,False,@coombemill @Prezzybox they look so cute flower.have u had a nice weekend we went away in caravan for 4 days was so lovely and quiet,GB,twitter,1,55.13511300814875,-1.7396194999999999
69,1090,False,When you're favourite YouTuber followes you!! @_Bennehh https://t.co/DaQfNCrfex,GB,twitter,0,55.943259273756,-3.2030084999999997
954,126273,False,The Cage is such a great tournament structure. Especially the calibre of opponents that enter every week..,GB,twitter,0,51.451674884083495,-0.19371950000000002
1448,10758,False,@camillaSCCO ok... It's not me 👀,GB,twitter,-1,53.419914903420405,-2.9154269999999998
1016,8821,False,@HayesGrier growing up too fast mate😩,GB,twitter,-1,51.51476447266411,-0.29743
1584,24967,False,"Baseball and softball, karate, sport climbing, skateboarding, surfing - all a step away from becoming Olympic sports https://t.co/hPalpw4ZQI",GB,twitter,0,51.49839328713241,-0.21610800000000002
1919,139327,False,"I am so hawt right now.

no, wait. I mean warm. I am so warm right now.",GB,twitter,1,55.834743842483356,-4.424785000000001
622,13014,False,Hello X https://t.co/sJpgK5c2yl,GB,twitter,0,53.60940388839056,-2.153001
520,117547,False,"@girl_vintage Uhm... pass? I kinda skipped her a bit to get to Tricia last night, couldn't sleep and CC helps me sleep.",GB,twitter,-1,51.58500991494593,0.07886299999999999
1008,79873,False,@TheEllenShow she's so damn cute,GB,twitter,-1,51.49704302186007,-3.1798
432,926,False,https://t.co/wI1kh902zI,GB,twitter,0,55.16855422285807,-1.6921415000000002
447,5059,False,Felt like bit of a coaching guru today - good to know my UEFA A comes in handy sometimes,GB,twitter,0,52.03360633916026,-0.7640635
911,9385,False,Eeeeeep. A bit gruesome and graphic. Interesting artwork nonetheless. Make up your own mind.… https://t.co/rQKOCRgAmI,GB,twitter,-1,51.4846403,0.1035098
985,15141,False,"I mean like it might have been a mistake getting in one, so u have to lock it off inih  https://t.co/pzwGgz8jbX",GB,twitter,-1,51.461926023441826,0.36056350000000004
99,2081,False,@R4ihan_4HMED you hate anything different from mainstream music pussy😒,GB,twitter,-1,51.51483911149297,-0.0350195
594,9990,False,My burny bits are keeping me up...ouchies #sunburn ☹️,GB,twitter,-1,56.47700935163645,-2.955045
254,1680,False,@TalkMurtyToMe it's been a long day 😭 sorry my brain is not working! 😲😲😲,GB,twitter,-1,53.38263616563445,-2.5933005000000002
14,369,False,"ارنوبي ارنوبي🐰 
لابس بدلة صوفي 
له قرنين وأربع رجلين 🐇
يأكل دارسين مدري بارسين 
هم هم هم 🙂🙂💔 
عفوا انا طفشانة 💔",GB,twitter,0,52.580149092624595,-2.147965
1057,5831,False,Thanks to Shutter Up photography for the fantastic pictures of @_LeeMatthews Live @FolkParkOmagh last Sunday- https://t.co/2JdVVmDXbQ,GB,twitter,0,54.824189888391516,-7.466483000000001
1394,137123,False,@karengiIIn what do you think,GB,twitter,-1,54.51603989375694,-6.062353500000001
169,1059,False,@kirsty_leee HERE COMES ANOTHER ALBUM 💔,GB,twitter,1,55.943259273756,-3.2030084999999997
445,27102,False,@JNewsomeHubbard so much mor [hic] comprehensive. Well done.,GB,twitter,1,52.20098398787838,0.13591599999999998
816,9274,False,@seanstalker7 hey man x,GB,twitter,1,57.188779263340585,-2.2017729999999998
1328,57148,False,.@garyvee. Heading into my 20th hour now. @Ginicanbreathe (Big snapper) has someone to tell her snapper friends https://t.co/oDRVF7qboz,GB,twitter,-1,51.50009845259365,-0.148936
934,14888,False,can we start calling josh bizarro spencer? #SJULive,GB,twitter,-1,51.35895133231162,-0.09263300000000001
241,48,False,@jennachloe11 wahayyy👀👀,GB,twitter,0,51.45790063398809,-2.58539
301,13743,False,Hate when you clearly care for some people but apparently you are 0/10 rating to them.,GB,twitter,-1,56.06268046445877,-3.4990415000000006
2959,3089,False,https://t.co/ftv9DMl3JR,GB,twitter,0,55.90962224537389,-4.1466069999999995
